ID,Alignment,Parameter,Value
034,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
034,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
034,Instrument.Alignments.Optics.MdACRotLow,Y,6.915836690733e-04
034,Instrument.Alignments.Detectors.TLD.Push,,-1.537360376208e+02
034,Instrument.Alignments.Optics.MdDeflDC1,X,1.464645001930e-01
034,Instrument.Alignments.Optics.MdHRpar4,,6.181311138823e-06
034,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.610190532215e+00
034,Instrument.Alignments.Optics.MdHRSatPar1,,-2.148695857464e+01
007,Instrument.Alignments.Optics.MdTLDAlign,X,-6.894529807032e-02
007,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-4.132432722942e-05
007,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.078686500391e-02
007,Instrument.Alignments.Optics.MdSShiftTube3,Y,1.420816813286e+01
007,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,1.362661516127e-04
007,Instrument.Alignments.Optics.MdSImRotCheb1,,3.568749709730e-01
007,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.294051880431e-01
007,Instrument.Alignments.Optics.MdDeflACF,Y,1.342548142112e-01
007,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
007,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
007,Instrument.Alignments.Optics.MdACRotLow,Y,-8.367834042297e-04
007,Instrument.Alignments.Detectors.TLD.Push,,-1.306091069115e+02
007,Instrument.Alignments.Optics.MdDeflDC1,X,1.573466767617e-01
007,Instrument.Alignments.Optics.MdHRpar4,,-2.908637822432e-05
007,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.610784530841e+00
007,Instrument.Alignments.Optics.MdHRSatPar1,,-2.129128241403e+01
005,Instrument.Alignments.Optics.MdTLDAlign,X,-6.192420995489e-02
005,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-3.280849587177e-05
005,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,2.035328676539e-02
005,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.777432746305e+01
005,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.538847409481e-04
005,Instrument.Alignments.Optics.MdSImRotCheb1,,3.546195799397e-01
005,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.281114617364e-01
005,Instrument.Alignments.Optics.MdDeflACF,Y,1.340934676838e-01
005,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.198041160118e-04
005,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
005,Instrument.Alignments.Optics.MdACRotLow,Y,-4.814335353322e-03
005,Instrument.Alignments.Detectors.TLD.Push,,-1.325241526172e+02
005,Instrument.Alignments.Optics.MdDeflDC1,X,1.459359362986e-01
005,Instrument.Alignments.Optics.MdHRpar4,,-1.990066591452e-06
005,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.608432184022e+00
005,Instrument.Alignments.Optics.MdHRSatPar1,,-2.088846987525e+01
004,Instrument.Alignments.Optics.MdTLDAlign,X,-6.314229110359e-02
004,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-4.909879620355e-04
004,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.649914602024e-02
004,Instrument.Alignments.Optics.MdSShiftTube3,Y,3.888184732118e+01
004,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,2.302904359626e-04
004,Instrument.Alignments.Optics.MdSImRotCheb1,,3.558565181632e-01
004,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.312149979425e-01
004,Instrument.Alignments.Optics.MdDeflACF,Y,1.354330383448e-01
004,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
004,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
004,Instrument.Alignments.Optics.MdACRotLow,Y,-3.666397552903e-03
004,Instrument.Alignments.Detectors.TLD.Push,,-1.535723685337e+02
004,Instrument.Alignments.Optics.MdDeflDC1,X,1.466344315424e-01
004,Instrument.Alignments.Optics.MdHRpar4,,9.296151381421e-06
004,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.595627814184e+00
004,Instrument.Alignments.Optics.MdHRSatPar1,,-2.015015040077e+01
009,Instrument.Alignments.Optics.MdTLDAlign,X,-6.497462442995e-02
009,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,3.836009085528e-05
009,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-6.528300829464e-03
009,Instrument.Alignments.Optics.MdSShiftTube3,Y,-1.970654912325e+01
009,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,6.902759841337e-04
009,Instrument.Alignments.Optics.MdSImRotCheb1,,3.535230378498e-01
009,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.283034151909e-01
009,Instrument.Alignments.Optics.MdDeflACF,Y,1.346140823082e-01
009,Instrument.Alignments.Optics.MdACRotUpp,Y,3.836067220002e-03
009,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
009,Instrument.Alignments.Optics.MdACRotLow,Y,-6.546819968850e-04
009,Instrument.Alignments.Detectors.TLD.Push,,-1.528200151450e+02
009,Instrument.Alignments.Optics.MdDeflDC1,X,1.578844133413e-01
009,Instrument.Alignments.Optics.MdHRpar4,,1.458039230180e-05
009,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.603551439772e+00
009,Instrument.Alignments.Optics.MdHRSatPar1,,-2.349106225231e+01
014,Instrument.Alignments.Optics.MdTLDAlign,X,-6.164650107724e-02
014,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,4.174667822612e-05
014,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-4.103371280942e-02
014,Instrument.Alignments.Optics.MdSShiftTube3,Y,-3.826220129051e+01
014,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,9.702175033949e-05
014,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570647413362e-01
014,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.288870708898e-01
014,Instrument.Alignments.Optics.MdDeflACF,Y,1.347761903502e-01
014,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
014,Instrument.Alignments.Optics.MdCompUHRRem,,-5.000000000000e+00
014,Instrument.Alignments.Optics.MdACRotLow,Y,-1.737167373214e-03
014,Instrument.Alignments.Detectors.TLD.Push,,-1.464427347141e+02
014,Instrument.Alignments.Optics.MdDeflDC1,X,1.457217227922e-01
014,Instrument.Alignments.Optics.MdHRpar4,,2.866745340159e-05
014,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.610346972246e+00
014,Instrument.Alignments.Optics.MdHRSatPar1,,-1.860387563077e+01
006,Instrument.Alignments.Optics.MdTLDAlign,X,-6.732846336356e-02
006,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-7.931394565013e-05
006,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,4.440626267976e-03
006,Instrument.Alignments.Optics.MdSShiftTube3,Y,9.069935004948e+01
006,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-9.502443777878e-04
006,Instrument.Alignments.Optics.MdSImRotCheb1,,3.583328753692e-01
006,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.296284132812e-01
006,Instrument.Alignments.Optics.MdDeflACF,Y,1.348205659149e-01
006,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
006,Instrument.Alignments.Optics.MdCompUHRRem,,-1.900000000000e+01
006,Instrument.Alignments.Optics.MdACRotLow,Y,-5.489622367293e-04
006,Instrument.Alignments.Detectors.TLD.Push,,-1.551583140064e+02
006,Instrument.Alignments.Optics.MdDeflDC1,X,1.577796093592e-01
006,Instrument.Alignments.Optics.MdHRpar4,,3.999459929874e-05
006,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.600094263416e+00
006,Instrument.Alignments.Optics.MdHRSatPar1,,-2.148438533908e+01
001,Instrument.Alignments.Optics.MdTLDAlign,X,-9.140488294105e-02
001,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-5.993740555334e-05
001,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-2.646439350540e-02
001,Instrument.Alignments.Optics.MdSShiftTube3,Y,-5.468965656511e+01
001,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,2.040171363528e-04
001,Instrument.Alignments.Optics.MdSImRotCheb1,,3.612101156728e-01
001,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.299526868588e-01
