ID,Alignment,Parameter,Value
034,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
034,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
034,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
034,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
034,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
034,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
034,Instrument.Alignments.Detectors.TLD.Push,,-1.557639862720e+02
034,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
034,Instrument.Alignments.Optics.MdHRpar4,,1.052587931593e-06
034,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
034,Instrument.Alignments.Optics.MdHRSatPar1,,-2.346433988787e+01
007,Instrument.Alignments.Optics.MdTLDAlign,X,9.375000000000e-03
007,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.765660000000e-04
007,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.387160000000e-03
007,Instrument.Alignments.Optics.MdSShiftTube3,Y,3.707649988774e+01
007,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,4.666670000000e-04
007,Instrument.Alignments.Optics.MdSImRotCheb1,,2.681000000000e-01
007,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
007,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
007,Instrument.Alignments.Optics.MdACRotUpp,Y,0.000000000000e+00
007,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
007,Instrument.Alignments.Optics.MdACRotLow,Y,0.000000000000e+00
007,Instrument.Alignments.Detectors.TLD.Push,,-1.240000000000e+02
007,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
007,Instrument.Alignments.Optics.MdHRpar4,,1.761408648163e-05
007,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.576900000000e+00
007,Instrument.Alignments.Optics.MdHRSatPar1,,-2.030396023880e+01
005,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
005,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,8.471900000000e-05
005,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,2.163960000000e-02
005,Instrument.Alignments.Optics.MdSShiftTube3,Y,1.997794520551e+01
005,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,1.791670000000e-04
005,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
005,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
005,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
005,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
005,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
005,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
005,Instrument.Alignments.Detectors.TLD.Push,,-1.406384407610e+02
005,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
005,Instrument.Alignments.Optics.MdHRpar4,,-5.947990130417e-05
005,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
005,Instrument.Alignments.Optics.MdHRSatPar1,,-1.713469911961e+01
004,Instrument.Alignments.Optics.MdTLDAlign,X,-4.062500000000e-02
004,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,0.000000000000e+00
004,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,0.000000000000e+00
004,Instrument.Alignments.Optics.MdSShiftTube3,Y,-3.605104391755e+01
004,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,1.254170000000e-03
004,Instrument.Alignments.Optics.MdSImRotCheb1,,2.681000000000e-01
004,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
004,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
004,Instrument.Alignments.Optics.MdACRotUpp,Y,0.000000000000e+00
004,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
004,Instrument.Alignments.Optics.MdACRotLow,Y,0.000000000000e+00
004,Instrument.Alignments.Detectors.TLD.Push,,-1.567539708738e+02
004,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
004,Instrument.Alignments.Optics.MdHRpar4,,7.110595253783e-05
004,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.576900000000e+00
004,Instrument.Alignments.Optics.MdHRSatPar1,,-2.213688308301e+01
009,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
009,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,1.531700809466e-04
009,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.446212624883e-02
009,Instrument.Alignments.Optics.MdSShiftTube3,Y,2.246607699988e+00
009,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,4.888244143391e-04
009,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
009,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.293319992054e-01
009,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
009,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
009,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
009,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
009,Instrument.Alignments.Detectors.TLD.Push,,-1.578640161103e+02
009,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
009,Instrument.Alignments.Optics.MdHRpar4,,2.481090675599e-05
009,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
009,Instrument.Alignments.Optics.MdHRSatPar1,,-2.676986468278e+01
014,Instrument.Alignments.Optics.MdTLDAlign,X,-6.225611024590e-02
014,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,5.839457717683e-04
014,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-3.307518377438e-02
014,Instrument.Alignments.Optics.MdSShiftTube3,Y,-6.328177840195e+01
014,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-1.849348266220e-04
014,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
014,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
014,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
014,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
014,Instrument.Alignments.Optics.MdCompUHRRem,,-1.000000000000e+01
014,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
014,Instrument.Alignments.Detectors.TLD.Push,,-1.397602813523e+02
014,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
014,Instrument.Alignments.Optics.MdHRpar4,,-2.955442447785e-05
014,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
014,Instrument.Alignments.Optics.MdHRSatPar1,,-1.870947798803e+01
006,Instrument.Alignments.Optics.MdTLDAlign,X,-6.361073472017e-02
006,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-2.209837856239e-05
006,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.703752153341e-02
006,Instrument.Alignments.Optics.MdSShiftTube3,Y,5.241488838889e+01
006,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-6.694102371819e-04
006,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
006,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
006,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
006,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
006,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
006,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
006,Instrument.Alignments.Detectors.TLD.Push,,-1.493997838942e+02
006,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
006,Instrument.Alignments.Optics.MdHRpar4,,-7.646489075221e-05
006,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
006,Instrument.Alignments.Optics.MdHRSatPar1,,-1.938059515426e+01
001,Instrument.Alignments.Optics.MdTLDAlign,X,-6.896537231722e-02
001,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,-5.396570000000e-05
001,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,1.521360000000e-03
001,Instrument.Alignments.Optics.MdSShiftTube3,Y,-6.331567213979e-01
001,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-8.750000000000e-05
001,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
001,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
001,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
001,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
001,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
001,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
001,Instrument.Alignments.Detectors.TLD.Push,,0.000000000000e+00
001,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
001,Instrument.Alignments.Optics.MdHRpar4,,3.665538888867e-05
001,Instrument.Alignments.Optics.MdSImRotCheb0,,-1.620000000000e+00
001,Instrument.Alignments.Optics.MdHRSatPar1,,-3.164022782224e+01
028,Instrument.Alignments.Optics.MdTLDAlign,X,0.000000000000e+00
028,Instrument.Alignments.Optics.AlignCorrAngleUHR,[0.004;2000].Y,5.762620000000e-05
028,Instrument.Alignments.Optics.CorrStigUppYUHR,[0.002;1000].X,-1.955340000000e-02
028,Instrument.Alignments.Optics.MdSShiftTube3,Y,5.746864002361e+01
028,Instrument.Alignments.Optics.ShiftCorrAngleUHR,[1000].X,-4.083330000000e-04
028,Instrument.Alignments.Optics.MdSImRotCheb1,,3.570000000000e-01
028,Instrument.Alignments.Optics.MdSDeflACF,[0.001].X,1.426000000000e-01
028,Instrument.Alignments.Optics.MdDeflACF,Y,1.458550000000e-01
028,Instrument.Alignments.Optics.MdACRotUpp,Y,-9.800000000000e-04
028,Instrument.Alignments.Optics.MdCompUHRRem,,-2.000000000000e+01
028,Instrument.Alignments.Optics.MdACRotLow,Y,-2.150000000000e-03
028,Instrument.Alignments.Detectors.TLD.Push,,-1.813036630356e+02
028,Instrument.Alignments.Optics.MdDeflDC1,X,1.426000000000e-01
028,Instrument.Alignments.Optics.MdHRpar4,,-8.590208699252e-06
